xSingle,ySingle,xMarried,yMarried
2486.684715,0.000199819,2493.698216,0.000139144
2502.562066,0.000209545,2509.533582,0.000144356
2518.439418,0.000220074,2525.368947,0.00015073
2534.316769,0.00023077,2541.204313,0.000158347
2550.194121,0.000241164,2557.039678,0.000167142
2566.071472,0.000251378,2572.875044,0.000176385
2581.948824,0.00026189,2588.710409,0.000184889
2597.826175,0.000272928,2604.545774,0.000192207
2613.703527,0.000284449,2620.38114,0.000198963
2629.580878,0.000296499,2636.216505,0.000206095
2645.45823,0.000309173,2652.051871,0.000214506
2661.335581,0.000322406,2667.887236,0.000224936
2677.212933,0.000336224,2683.722602,0.000237276
2693.090284,0.000351089,2699.557967,0.000250327
2708.967636,0.000367597,2715.393332,0.000262985
2724.844987,0.000385755,2731.228698,0.000275269
2740.722339,0.000404656,2747.064063,0.00028771
2756.59969,0.000422892,2762.899429,0.000300588
2772.477042,0.000439364,2778.734794,0.000313867
2788.354393,0.000453982,2794.57016,0.000327463
2804.231745,0.000467822,2810.405525,0.000341211
2820.109096,0.000482527,2826.24089,0.000355229
2835.986448,0.000499197,2842.076256,0.000370414
2851.863799,0.000517671,2857.911621,0.000386996
2867.741151,0.000536863,2873.746987,0.000404418
2883.618502,0.000555704,2889.582352,0.00042245
2899.495854,0.000573664,2905.417718,0.000440755
2915.373205,0.000590764,2921.253083,0.000457963
2931.250557,0.000607543,2937.088448,0.000472946
2947.127908,0.00062479,2952.923814,0.000487182
2963.00526,0.000642739,2968.759179,0.000502506
2978.882611,0.000660468,2984.594545,0.000519052
2994.759963,0.00067649,3000.42991,0.000535985
3010.637314,0.000690112,3016.265276,0.000552978
3026.514665,0.000702175,3032.100641,0.000570137
3042.392017,0.000714607,3047.936006,0.000587146
3058.269368,0.00072891,3063.771372,0.000604035
3074.14672,0.000744431,3079.606737,0.000621316
3090.024071,0.00075842,3095.442103,0.000639525
3105.901423,0.00076866,3111.277468,0.000658496
3121.778774,0.000775954,3127.112834,0.000677318
3137.656126,0.000782272,3142.948199,0.000694569
3153.533477,0.000789319,3158.783564,0.000708706
3169.410829,0.000798445,3174.61893,0.000720302
3185.28818,0.000809823,3190.454295,0.000732458
3201.165532,0.000821375,3206.289661,0.000747663
3217.042883,0.000830096,3222.125026,0.000764737
3232.920235,0.000834656,3237.960392,0.000780102
3248.797586,0.000835852,3253.795757,0.0007919
3264.674938,0.000835066,3269.631122,0.000800984
3280.552289,0.000833034,3285.466488,0.000808605
3296.429641,0.000829642,3301.301853,0.000815003
3312.306992,0.000824443,3317.137219,0.000820015
3328.184344,0.00081779,3332.972584,0.000824045
3344.061695,0.00081158,3348.80795,0.000827718
3359.939047,0.000807984,3364.643315,0.000831354
3375.816398,0.000806923,3380.47868,0.000834444
3391.69375,0.000805388,3396.314046,0.000835389
3407.571101,0.000799933,3412.149411,0.00083378
3423.448453,0.000789698,3427.984777,0.000831381
3439.325804,0.000776682,3443.820142,0.000830046
3455.203156,0.000763481,3459.655508,0.000828793
3471.080507,0.000751331,3475.490873,0.000824504
3486.957859,0.000739722,3491.326238,0.000815488
3502.83521,0.000727146,3507.161604,0.000802724
3518.712562,0.00071258,3522.996969,0.000790766
3534.589913,0.000696767,3538.832335,0.000784639
3550.467265,0.000681571,3554.6677,0.000783972
3566.344616,0.000667921,3570.503066,0.000781857
3582.221968,0.000655276,3586.338431,0.000773322
3598.099319,0.000642784,3602.173796,0.000761259
3613.976671,0.000629602,3618.009162,0.000749222
3629.854022,0.000614306,3633.844527,0.000736684
3645.731374,0.000595822,3649.679893,0.000722272
3661.608725,0.000575362,3665.515258,0.000706901
3677.486077,0.000555645,3681.350624,0.000691755
3693.363428,0.000538184,3697.185989,0.000676611
3709.24078,0.000522544,3713.021354,0.000661509
3725.118131,0.000507299,3728.85672,0.000646446
3740.995483,0.000491282,3744.692085,0.000631148
3756.872834,0.000474296,3760.527451,0.000615924
3772.750186,0.000456999,3776.362816,0.000600984
3788.627537,0.000440111,3792.198182,0.000584499
3804.504888,0.000423803,3808.033547,0.000564174
3820.38224,0.000407867,3823.868912,0.000541419
3836.259591,0.000392135,3839.704278,0.000520379
3852.136943,0.000376575,3855.539643,0.00050344
3868.014294,0.000361204,3871.375009,0.000489912
3883.891646,0.000346147,3887.210374,0.000477698
3899.768997,0.000331627,3903.04574,0.000464385
3915.646349,0.000317714,3918.881105,0.000448214
3931.5237,0.000304136,3934.71647,0.000429806
3947.401052,0.000290425,3950.551836,0.000411399
3963.278403,0.000276249,3966.387201,0.000393979
3979.155755,0.000261655,3982.222567,0.00037714
3995.033106,0.000247157,3998.057932,0.000360688
4010.910458,0.000233652,4013.893298,0.00034478
4026.787809,0.000221889,4029.728663,0.000329353
4042.665161,0.000211715,4045.564028,0.000314472
4058.542512,0.000202071,4061.399394,0.000300641
4074.419864,0.000192014,4077.234759,0.00028771
4090.297215,0.000181586,4093.070125,0.000275227
4106.174567,0.000171506,4108.90549,0.000263722
4122.051918,0.000162263,4124.740856,0.000253546
4137.92927,0.000153739,4140.576221,0.000242899
4153.806621,0.000145562,4156.411586,0.000229707
4169.683973,0.000137579,4172.246952,0.000215061
4185.561324,0.000129972,4188.082317,0.000201688
4201.438676,0.000123035,4203.917683,0.000190905
4217.316027,0.000116796,4219.753048,0.000182281
4233.193379,0.000110932,4235.588414,0.000174656
4249.07073,0.000105096,4251.423779,0.000166715
4264.948082,9.92E-05,4267.259144,0.000157848
4280.825433,9.33E-05,4283.09451,0.000148851
4296.702785,8.76E-05,4298.929875,0.000140394
4312.580136,8.20E-05,4314.765241,0.000132242
4328.457488,7.67E-05,4330.600606,0.000124248
4344.334839,7.17E-05,4346.435972,0.00011655
4360.212191,6.69E-05,4362.271337,0.000108974
4376.089542,6.21E-05,4378.106702,0.000101367
4391.966894,5.75E-05,4393.942068,9.43E-05
4407.844245,5.32E-05,4409.777433,8.84E-05
4423.721597,4.94E-05,4425.612799,8.35E-05
4439.598948,4.62E-05,4441.448164,7.90E-05
4455.4763,4.35E-05,4457.28353,7.46E-05
4471.353651,4.10E-05,4473.118895,7.05E-05
4487.231003,3.86E-05,4488.95426,6.66E-05
4503.108354,3.61E-05,4504.789626,6.28E-05
4518.985706,3.38E-05,4520.624991,5.90E-05
4534.863057,3.15E-05,4536.460357,5.49E-05
4550.740409,2.93E-05,4552.295722,5.08E-05
4566.61776,2.74E-05,4568.131088,4.71E-05
4582.495112,2.57E-05,4583.966453,4.40E-05
4598.372463,2.41E-05,4599.801818,4.14E-05
4614.249814,2.25E-05,4615.637184,3.88E-05
4630.127166,2.10E-05,4631.472549,3.62E-05
4646.004517,1.96E-05,4647.307915,3.36E-05
4661.881869,1.85E-05,4663.14328,3.12E-05
4677.75922,1.76E-05,4678.978646,2.90E-05
4693.636572,1.67E-05,4694.814011,2.70E-05
4709.513923,1.58E-05,4710.649376,2.50E-05
4725.391275,1.48E-05,4726.484742,2.31E-05
4741.268626,1.37E-05,4742.320107,2.13E-05
4757.145978,1.25E-05,4758.155473,2.00E-05
4773.023329,1.14E-05,4773.990838,1.88E-05
4788.900681,1.04E-05,4789.826204,1.77E-05
4804.778032,9.61E-06,4805.661569,1.66E-05
4820.655384,8.95E-06,4821.496934,1.53E-05
4836.532735,8.35E-06,4837.3323,1.41E-05
4852.410087,7.74E-06,4853.167665,1.29E-05
4868.287438,7.15E-06,4869.003031,1.19E-05
4884.16479,6.63E-06,4884.838396,1.11E-05
4900.042141,6.20E-06,4900.673762,1.02E-05
4915.919493,5.86E-06,4916.509127,9.47E-06
4931.796844,5.58E-06,4932.344492,8.80E-06
4947.674196,5.32E-06,4948.179858,8.23E-06
4963.551547,5.01E-06,4964.015223,7.74E-06
4979.428899,4.63E-06,4979.850589,7.30E-06
4995.30625,4.20E-06,4995.685954,6.86E-06
5011.183602,3.78E-06,5011.52132,6.39E-06
5027.060953,3.41E-06,5027.356685,5.90E-06
5042.938305,3.09E-06,5043.19205,5.42E-06
5058.815656,2.85E-06,5059.027416,4.95E-06
5074.693008,2.70E-06,5074.862781,4.49E-06
5090.570359,2.63E-06,5090.698147,4.08E-06
5106.447711,2.57E-06,5106.533512,3.75E-06
5122.325062,2.49E-06,5122.368878,3.53E-06
5138.202414,2.34E-06,5138.204243,3.37E-06
5154.079765,2.15E-06,5154.039608,3.22E-06
5169.957117,1.94E-06,5169.874974,3.03E-06
5185.834468,1.74E-06,5185.710339,2.79E-06
5201.71182,1.57E-06,5201.545705,2.51E-06
5217.589171,1.43E-06,5217.38107,2.24E-06
5233.466523,1.32E-06,5233.216436,2.01E-06
5249.343874,1.22E-06,5249.051801,1.85E-06
5265.221226,1.16E-06,5264.887166,1.75E-06
5281.098577,1.12E-06,5280.722532,1.66E-06
5296.975929,1.07E-06,5296.557897,1.57E-06
5312.85328,1.01E-06,5312.393263,1.47E-06
5328.730632,9.36E-07,5328.228628,1.40E-06
5344.607983,8.89E-07,5344.063994,1.34E-06
5360.485335,8.68E-07,5359.899359,1.28E-06
5376.362686,8.62E-07,5375.734724,1.19E-06
5392.240037,8.54E-07,5391.57009,1.08E-06
5408.117389,8.30E-07,5407.405455,9.59E-07
5423.99474,7.81E-07,5423.240821,8.50E-07
5439.872092,6.99E-07,5439.076186,7.73E-07
5455.749443,5.89E-07,5454.911552,7.39E-07
5471.626795,4.69E-07,5470.746917,7.34E-07
5487.504146,3.66E-07,5486.582282,7.29E-07
5503.381498,2.98E-07,5502.417648,6.98E-07
5519.258849,2.66E-07,5518.253013,6.34E-07
5535.136201,2.63E-07,5534.088379,5.50E-07
5551.013552,2.76E-07,5549.923744,4.73E-07
5566.890904,2.95E-07,5565.75911,4.23E-07
5582.768255,3.13E-07,5581.594475,4.04E-07
5598.645607,3.25E-07,5597.42984,4.10E-07
5614.522958,3.33E-07,5613.265206,4.27E-07
5630.40031,3.39E-07,5629.100571,4.46E-07
5646.277661,3.40E-07,5644.935937,4.52E-07
5662.155013,3.24E-07,5660.771302,4.34E-07
5678.032364,2.84E-07,5676.606668,3.92E-07
5693.909716,2.25E-07,5692.442033,3.38E-07
5709.787067,1.65E-07,5708.277398,2.84E-07
5725.664419,1.23E-07,5724.112764,2.35E-07
5741.54177,1.06E-07,5739.948129,1.93E-07
5757.419122,1.10E-07,5755.783495,1.64E-07
5773.296473,1.22E-07,5771.61886,1.53E-07
5789.173825,1.33E-07,5787.454226,1.54E-07
5805.051176,1.35E-07,5803.289591,1.57E-07
5820.928528,1.29E-07,5819.124956,1.52E-07
5836.805879,1.19E-07,5834.960322,1.39E-07
5852.683231,1.06E-07,5850.795687,1.26E-07
5868.560582,9.61E-08,5866.631053,1.20E-07
5884.437934,9.16E-08,5882.466418,1.22E-07
5900.315285,9.25E-08,5898.301784,1.28E-07
5916.192637,9.78E-08,5914.137149,1.29E-07
5932.069988,1.06E-07,5929.972514,1.23E-07
5947.94734,1.14E-07,5945.80788,1.11E-07
5963.824691,1.16E-07,5961.643245,1.03E-07
5979.702043,1.10E-07,5977.478611,1.05E-07
5995.579394,9.89E-08,5993.313976,1.15E-07
6011.456746,8.99E-08,6009.149342,1.20E-07
6027.334097,8.64E-08,6024.984707,1.13E-07
6043.211449,8.66E-08,6040.820072,9.35E-08
6059.0888,8.48E-08,6056.655438,7.32E-08
6074.966152,7.77E-08,6072.490803,6.20E-08
6090.843503,6.58E-08,6088.326169,6.43E-08
6106.720855,5.23E-08,6104.161534,7.62E-08
6122.598206,4.07E-08,6119.9969,8.60E-08
6138.475558,3.46E-08,6135.832265,8.56E-08
6154.352909,3.66E-08,6151.66763,7.77E-08
6170.23026,4.48E-08,6167.502996,6.89E-08
6186.107612,5.28E-08,6183.338361,6.23E-08
6201.984963,5.49E-08,6199.173727,5.90E-08
6217.862315,5.11E-08,6215.009092,6.10E-08
6233.739666,4.66E-08,6230.844458,6.97E-08
6249.617018,4.52E-08,6246.679823,8.00E-08
6265.494369,4.62E-08,6262.515188,8.13E-08
6281.371721,4.77E-08,6278.350554,6.90E-08
6297.249072,5.11E-08,6294.185919,5.15E-08
6313.126424,5.78E-08,6310.021285,3.95E-08
6329.003775,6.53E-08,6325.85665,3.45E-08
6344.881127,6.79E-08,6341.692016,3.11E-08
6360.758478,6.35E-08,6357.527381,2.69E-08
6376.63583,5.49E-08,6373.362746,2.53E-08
6392.513181,4.65E-08,6389.198112,2.94E-08
6408.390533,4.10E-08,6405.033477,3.80E-08
6424.267884,3.89E-08,6420.868843,4.69E-08
