"x","y"
1084.35056674231,1.75245787864663e-05
1097.31760580292,1.77839317798457e-05
1110.28464486352,1.78612334826542e-05
1123.25168392413,1.77668021771107e-05
1136.21872298474,1.75327467097419e-05
1149.18576204534,1.72067889907346e-05
1162.15280110595,1.68449589079779e-05
1175.11984016656,1.65080370575137e-05
1188.08687922716,1.62487302710932e-05
1201.05391828777,1.61024758055493e-05
1214.02095734838,1.60892633487822e-05
1226.98799640898,1.62123042177144e-05
1239.95503546959,1.64590818571484e-05
1252.9220745302,1.68044395452411e-05
1265.8891135908,1.72156166911996e-05
1278.85615265141,1.76587152122284e-05
1291.82319171202,1.81054109870531e-05
1304.79023077262,1.85382040508121e-05
1317.75726983323,1.89525533105785e-05
1330.72430889384,1.9355043439654e-05
1343.69134795444,1.97580558839916e-05
1356.65838701505,2.01727132190087e-05
1369.62542607566,2.06025461101094e-05
1382.59246513626,2.1040092723192e-05
1395.55950419687,2.14661148791724e-05
1408.52654325748,2.18557269739196e-05
1421.49358231808,2.21898210169125e-05
1434.46062137869,2.24596786696739e-05
1447.4276604393,2.26707488456662e-05
1460.3946994999,2.28418554170076e-05
1473.36173856051,2.3000445142973e-05
1486.32877762112,2.31757046336141e-05
1499.29581668172,2.33921335787831e-05
1512.26285574233,2.36658043602624e-05
1525.22989480294,2.40042249890346e-05
1538.19693386354,2.44090951865225e-05
1551.16397292415,2.48800866858524e-05
1564.13101198476,2.54176071869374e-05
1577.09805104537,2.60233214987741e-05
1590.06509010597,2.66985017182005e-05
1603.03212916658,2.74413584886704e-05
1615.99916822719,2.82464475650048e-05
1628.96620728779,2.90991253612024e-05
1641.9332463484,2.99804694815483e-05
1654.90028540901,3.08738352695503e-05
1667.86732446961,3.17667274405339e-05
1680.83436353022,3.26536866758092e-05
1693.80140259083,3.35372725814655e-05
1706.76844165143,3.44265930882841e-05
1719.73548071204,3.53335894470744e-05
1732.70251977265,3.62682132400233e-05
1745.66955883325,3.72343580690528e-05
